Command-Line Arguments : ['test2.py', 'start.txt', 'goal.txt', 'a*', 'true']
Method Selected: a*
**************************************************
Running: a*
Nodes Popped: 65
Nodes Expanded: 64
Nodes Generated: 110
Max Fringe Size: 46
----------------------------------------------------------
List of Successor States:-

Node_Current_State							Node_Parent_State							Node_Heuristic_Cost			Node_Move_Cost

[[2, 0, 6], [1, 3, 7], [4, 8, 5]]			[[2, 3, 6], [1, 0, 7], [4, 8, 5]]			50							3
[[2, 3, 6], [1, 8, 7], [4, 0, 5]]			[[2, 3, 6], [1, 0, 7], [4, 8, 5]]			55							8
[[2, 3, 6], [0, 1, 7], [4, 8, 5]]			[[2, 3, 6], [1, 0, 7], [4, 8, 5]]			48							1
[[2, 3, 6], [1, 7, 0], [4, 8, 5]]			[[2, 3, 6], [1, 0, 7], [4, 8, 5]]			40							7
[[2, 3, 0], [1, 7, 6], [4, 8, 5]]			[[2, 3, 6], [1, 7, 0], [4, 8, 5]]			34							13
[[2, 3, 6], [1, 7, 5], [4, 8, 0]]			[[2, 3, 6], [1, 7, 0], [4, 8, 5]]			35							12
[[2, 0, 3], [1, 7, 6], [4, 8, 5]]			[[2, 3, 0], [1, 7, 6], [4, 8, 5]]			31							16
[[2, 3, 6], [1, 7, 5], [4, 0, 8]]			[[2, 3, 6], [1, 7, 5], [4, 8, 0]]			43							20
[[2, 7, 3], [1, 0, 6], [4, 8, 5]]			[[2, 0, 3], [1, 7, 6], [4, 8, 5]]			38							23
[[0, 2, 3], [1, 7, 6], [4, 8, 5]]			[[2, 0, 3], [1, 7, 6], [4, 8, 5]]			29							18
[[1, 2, 3], [0, 7, 6], [4, 8, 5]]			[[0, 2, 3], [1, 7, 6], [4, 8, 5]]			28							19
[[1, 2, 3], [4, 7, 6], [0, 8, 5]]			[[1, 2, 3], [0, 7, 6], [4, 8, 5]]			24							23
[[1, 2, 3], [7, 0, 6], [4, 8, 5]]			[[1, 2, 3], [0, 7, 6], [4, 8, 5]]			21							26
[[1, 2, 3], [4, 7, 6], [8, 0, 5]]			[[1, 2, 3], [4, 7, 6], [0, 8, 5]]			32							31
[[1, 0, 3], [7, 2, 6], [4, 8, 5]]			[[1, 2, 3], [7, 0, 6], [4, 8, 5]]			23							28
[[1, 2, 3], [7, 8, 6], [4, 0, 5]]			[[1, 2, 3], [7, 0, 6], [4, 8, 5]]			29							34
[[1, 2, 3], [7, 6, 0], [4, 8, 5]]			[[1, 2, 3], [7, 0, 6], [4, 8, 5]]			27							32
[[0, 3, 6], [2, 1, 7], [4, 8, 5]]			[[2, 3, 6], [0, 1, 7], [4, 8, 5]]			50							3
[[2, 3, 6], [4, 1, 7], [0, 8, 5]]			[[2, 3, 6], [0, 1, 7], [4, 8, 5]]			44							5
[[2, 3, 6], [4, 1, 7], [8, 0, 5]]			[[2, 3, 6], [4, 1, 7], [0, 8, 5]]			52							13
[[0, 1, 3], [7, 2, 6], [4, 8, 5]]			[[1, 0, 3], [7, 2, 6], [4, 8, 5]]			24							29
[[1, 3, 0], [7, 2, 6], [4, 8, 5]]			[[1, 0, 3], [7, 2, 6], [4, 8, 5]]			26							31
[[0, 2, 6], [1, 3, 7], [4, 8, 5]]			[[2, 0, 6], [1, 3, 7], [4, 8, 5]]			48							5
[[2, 6, 0], [1, 3, 7], [4, 8, 5]]			[[2, 0, 6], [1, 3, 7], [4, 8, 5]]			56							9
[[3, 0, 6], [2, 1, 7], [4, 8, 5]]			[[0, 3, 6], [2, 1, 7], [4, 8, 5]]			53							6
[[7, 1, 3], [0, 2, 6], [4, 8, 5]]			[[0, 1, 3], [7, 2, 6], [4, 8, 5]]			31							36
[[1, 2, 6], [0, 3, 7], [4, 8, 5]]			[[0, 2, 6], [1, 3, 7], [4, 8, 5]]			47							6
[[1, 2, 6], [4, 3, 7], [0, 8, 5]]			[[1, 2, 6], [0, 3, 7], [4, 8, 5]]			43							10
[[1, 2, 6], [3, 0, 7], [4, 8, 5]]			[[1, 2, 6], [0, 3, 7], [4, 8, 5]]			50							9
[[1, 2, 6], [4, 3, 7], [8, 0, 5]]			[[1, 2, 6], [4, 3, 7], [0, 8, 5]]			51							18
[[1, 3, 6], [7, 2, 0], [4, 8, 5]]			[[1, 3, 0], [7, 2, 6], [4, 8, 5]]			32							37
[[3, 1, 6], [2, 0, 7], [4, 8, 5]]			[[3, 0, 6], [2, 1, 7], [4, 8, 5]]			52							7
[[3, 6, 0], [2, 1, 7], [4, 8, 5]]			[[3, 0, 6], [2, 1, 7], [4, 8, 5]]			59							12
[[1, 0, 6], [3, 2, 7], [4, 8, 5]]			[[1, 2, 6], [3, 0, 7], [4, 8, 5]]			52							11
[[1, 2, 6], [3, 8, 7], [4, 0, 5]]			[[1, 2, 6], [3, 0, 7], [4, 8, 5]]			58							17
[[1, 2, 6], [3, 7, 0], [4, 8, 5]]			[[1, 2, 6], [3, 0, 7], [4, 8, 5]]			43							16
[[3, 1, 6], [2, 8, 7], [4, 0, 5]]			[[3, 1, 6], [2, 0, 7], [4, 8, 5]]			60							15
[[3, 1, 6], [0, 2, 7], [4, 8, 5]]			[[3, 1, 6], [2, 0, 7], [4, 8, 5]]			50							9
[[3, 1, 6], [2, 7, 0], [4, 8, 5]]			[[3, 1, 6], [2, 0, 7], [4, 8, 5]]			45							14
[[1, 2, 0], [7, 6, 3], [4, 8, 5]]			[[1, 2, 3], [7, 6, 0], [4, 8, 5]]			30							35
[[1, 2, 3], [7, 6, 5], [4, 8, 0]]			[[1, 2, 3], [7, 6, 0], [4, 8, 5]]			22							37
[[1, 2, 0], [3, 7, 6], [4, 8, 5]]			[[1, 2, 6], [3, 7, 0], [4, 8, 5]]			37							22
[[1, 2, 6], [3, 7, 5], [4, 8, 0]]			[[1, 2, 6], [3, 7, 0], [4, 8, 5]]			38							21
[[0, 1, 6], [3, 2, 7], [4, 8, 5]]			[[3, 1, 6], [0, 2, 7], [4, 8, 5]]			53							12
[[3, 1, 6], [4, 2, 7], [0, 8, 5]]			[[3, 1, 6], [0, 2, 7], [4, 8, 5]]			46							13
[[3, 1, 0], [2, 7, 6], [4, 8, 5]]			[[3, 1, 6], [2, 7, 0], [4, 8, 5]]			39							20
[[3, 1, 6], [2, 7, 5], [4, 8, 0]]			[[3, 1, 6], [2, 7, 0], [4, 8, 5]]			40							19
[[1, 2, 6], [3, 7, 5], [4, 0, 8]]			[[1, 2, 6], [3, 7, 5], [4, 8, 0]]			46							29
[[3, 1, 6], [4, 2, 7], [8, 0, 5]]			[[3, 1, 6], [4, 2, 7], [0, 8, 5]]			54							21
[[3, 0, 1], [2, 7, 6], [4, 8, 5]]			[[3, 1, 0], [2, 7, 6], [4, 8, 5]]			40							21
[[3, 1, 6], [2, 7, 5], [4, 0, 8]]			[[3, 1, 6], [2, 7, 5], [4, 8, 0]]			48							27
[[1, 2, 3], [7, 6, 5], [4, 0, 8]]			[[1, 2, 3], [7, 6, 5], [4, 8, 0]]			30							45
[[1, 0, 2], [3, 7, 6], [4, 8, 5]]			[[1, 2, 0], [3, 7, 6], [4, 8, 5]]			39							24
[[3, 7, 1], [2, 0, 6], [4, 8, 5]]			[[3, 0, 1], [2, 7, 6], [4, 8, 5]]			47							28
[[0, 3, 1], [2, 7, 6], [4, 8, 5]]			[[3, 0, 1], [2, 7, 6], [4, 8, 5]]			37							24
[[2, 7, 3], [1, 8, 6], [4, 0, 5]]			[[2, 7, 3], [1, 0, 6], [4, 8, 5]]			46							31
[[2, 7, 3], [0, 1, 6], [4, 8, 5]]			[[2, 7, 3], [1, 0, 6], [4, 8, 5]]			39							24
[[2, 7, 3], [1, 6, 0], [4, 8, 5]]			[[2, 7, 3], [1, 0, 6], [4, 8, 5]]			44							29
[[2, 3, 1], [0, 7, 6], [4, 8, 5]]			[[0, 3, 1], [2, 7, 6], [4, 8, 5]]			35							26
[[2, 3, 1], [4, 7, 6], [0, 8, 5]]			[[2, 3, 1], [0, 7, 6], [4, 8, 5]]			31							30
[[2, 3, 1], [7, 0, 6], [4, 8, 5]]			[[2, 3, 1], [0, 7, 6], [4, 8, 5]]			28							33
[[2, 3, 1], [4, 7, 6], [8, 0, 5]]			[[2, 3, 1], [4, 7, 6], [0, 8, 5]]			39							38
[[2, 0, 1], [7, 3, 6], [4, 8, 5]]			[[2, 3, 1], [7, 0, 6], [4, 8, 5]]			31							36
[[2, 3, 1], [7, 8, 6], [4, 0, 5]]			[[2, 3, 1], [7, 0, 6], [4, 8, 5]]			36							41
[[2, 3, 1], [7, 6, 0], [4, 8, 5]]			[[2, 3, 1], [7, 0, 6], [4, 8, 5]]			34							39
[[2, 3, 6], [1, 0, 5], [4, 7, 8]]			[[2, 3, 6], [1, 7, 5], [4, 0, 8]]			36							27
[[2, 3, 6], [1, 7, 5], [0, 4, 8]]			[[2, 3, 6], [1, 7, 5], [4, 0, 8]]			47							24
[[0, 1, 6], [3, 2, 7], [4, 8, 5]]			[[1, 0, 6], [3, 2, 7], [4, 8, 5]]			53							12
[[1, 6, 0], [3, 2, 7], [4, 8, 5]]			[[1, 0, 6], [3, 2, 7], [4, 8, 5]]			58							17
[[0, 7, 3], [2, 1, 6], [4, 8, 5]]			[[2, 7, 3], [0, 1, 6], [4, 8, 5]]			41							26
[[2, 7, 3], [4, 1, 6], [0, 8, 5]]			[[2, 7, 3], [0, 1, 6], [4, 8, 5]]			35							28
[[2, 0, 6], [1, 3, 5], [4, 7, 8]]			[[2, 3, 6], [1, 0, 5], [4, 7, 8]]			39							30
[[2, 3, 6], [0, 1, 5], [4, 7, 8]]			[[2, 3, 6], [1, 0, 5], [4, 7, 8]]			37							28
[[2, 3, 6], [1, 5, 0], [4, 7, 8]]			[[2, 3, 6], [1, 0, 5], [4, 7, 8]]			31							32
[[2, 7, 3], [4, 1, 6], [8, 0, 5]]			[[2, 7, 3], [4, 1, 6], [0, 8, 5]]			43							36
[[2, 3, 6], [1, 8, 7], [0, 4, 5]]			[[2, 3, 6], [1, 8, 7], [4, 0, 5]]			59							12
[[2, 3, 6], [1, 8, 7], [4, 5, 0]]			[[2, 3, 6], [1, 8, 7], [4, 0, 5]]			50							13
[[1, 7, 2], [3, 0, 6], [4, 8, 5]]			[[1, 0, 2], [3, 7, 6], [4, 8, 5]]			46							31
[[0, 1, 2], [3, 7, 6], [4, 8, 5]]			[[1, 0, 2], [3, 7, 6], [4, 8, 5]]			40							25
[[1, 2, 3], [4, 0, 6], [8, 7, 5]]			[[1, 2, 3], [4, 7, 6], [8, 0, 5]]			25							38
[[1, 2, 3], [4, 7, 6], [8, 5, 0]]			[[1, 2, 3], [4, 7, 6], [8, 0, 5]]			27							36
[[1, 2, 3], [7, 8, 6], [0, 4, 5]]			[[1, 2, 3], [7, 8, 6], [4, 0, 5]]			33							38
[[1, 2, 3], [7, 8, 6], [4, 5, 0]]			[[1, 2, 3], [7, 8, 6], [4, 0, 5]]			24							39
[[2, 3, 0], [1, 5, 6], [4, 7, 8]]			[[2, 3, 6], [1, 5, 0], [4, 7, 8]]			25							38
[[2, 3, 6], [1, 5, 8], [4, 7, 0]]			[[2, 3, 6], [1, 5, 0], [4, 7, 8]]			39							40
[[2, 3, 6], [1, 8, 0], [4, 5, 7]]			[[2, 3, 6], [1, 8, 7], [4, 5, 0]]			43							20
[[1, 2, 3], [4, 7, 0], [8, 5, 6]]			[[1, 2, 3], [4, 7, 6], [8, 5, 0]]			33							42
[[1, 2, 3], [7, 8, 0], [4, 5, 6]]			[[1, 2, 3], [7, 8, 6], [4, 5, 0]]			30							45
[[2, 0, 3], [1, 5, 6], [4, 7, 8]]			[[2, 3, 0], [1, 5, 6], [4, 7, 8]]			22							41
[[2, 3, 0], [1, 8, 6], [4, 5, 7]]			[[2, 3, 6], [1, 8, 0], [4, 5, 7]]			37							26
[[2, 3, 6], [1, 0, 8], [4, 5, 7]]			[[2, 3, 6], [1, 8, 0], [4, 5, 7]]			51							28
[[1, 0, 3], [4, 2, 6], [8, 7, 5]]			[[1, 2, 3], [4, 0, 6], [8, 7, 5]]			27							40
[[1, 2, 3], [0, 4, 6], [8, 7, 5]]			[[1, 2, 3], [4, 0, 6], [8, 7, 5]]			29							42
[[1, 2, 3], [4, 6, 0], [8, 7, 5]]			[[1, 2, 3], [4, 0, 6], [8, 7, 5]]			31							44
[[2, 5, 3], [1, 0, 6], [4, 7, 8]]			[[2, 0, 3], [1, 5, 6], [4, 7, 8]]			27							46
[[0, 2, 3], [1, 5, 6], [4, 7, 8]]			[[2, 0, 3], [1, 5, 6], [4, 7, 8]]			20							43
[[2, 0, 3], [1, 8, 6], [4, 5, 7]]			[[2, 3, 0], [1, 8, 6], [4, 5, 7]]			34							29
[[1, 2, 3], [0, 5, 6], [4, 7, 8]]			[[0, 2, 3], [1, 5, 6], [4, 7, 8]]			19							44
[[2, 8, 3], [1, 0, 6], [4, 5, 7]]			[[2, 0, 3], [1, 8, 6], [4, 5, 7]]			42							37
[[0, 2, 3], [1, 8, 6], [4, 5, 7]]			[[2, 0, 3], [1, 8, 6], [4, 5, 7]]			32							31
[[1, 2, 3], [4, 5, 6], [0, 7, 8]]			[[1, 2, 3], [0, 5, 6], [4, 7, 8]]			15							48
[[1, 2, 3], [5, 0, 6], [4, 7, 8]]			[[1, 2, 3], [0, 5, 6], [4, 7, 8]]			24							49
[[1, 2, 3], [0, 8, 6], [4, 5, 7]]			[[0, 2, 3], [1, 8, 6], [4, 5, 7]]			31							32
[[1, 2, 3], [4, 5, 6], [7, 0, 8]]			[[1, 2, 3], [4, 5, 6], [0, 7, 8]]			8							55
[[1, 2, 3], [4, 8, 6], [0, 5, 7]]			[[1, 2, 3], [0, 8, 6], [4, 5, 7]]			27							36
